Cluster ID	Gene ID|Swissprot Annotation	PFAM Annotations	NR Annotation	P value	Adjusted P Value	Average Log Fold Change	Percent Positive Cells in Cluster	Percent Positive Cells Outside of Cluster
i_neuron/gland_cell_progenitor	t34429aep|PP4C_XENTR	PF00149	PREDICTED: serine/threonine-protein phosphatase 4 catalytic subunit [Hydra vulgaris]	6.35E-29	2.12E-24	0.422853584	0.631	0.491
i_neuron/gland_cell_progenitor	t614aep|NAA50_XENTR	PF00583;PF13673;PF13508	PREDICTED: N-alpha-acetyltransferase 50 isoform X2 [Callithrix jacchus]	3.07E-30	1.02E-25	0.422429804	0.7	0.602
i_neuron/gland_cell_progenitor	t5071aep|RS10_SPOFR	PF03501	PREDICTED: 40S ribosomal protein S10-like [Hydra vulgaris] >gi|221091269|ref|XP_002161801.1| PREDICTED: 40S ribosomal protein S10-like [Hydra vulgaris]	6.31E-79	2.11E-74	0.422271097	0.982	0.913
i_neuron/gland_cell_progenitor	t30862aep|COIL_XENLA	PF15862	PREDICTED: uncharacterized protein LOC100206631 [Hydra vulgaris]	2.22E-25	7.42E-21	0.422224069	0.531	0.383
i_neuron/gland_cell_progenitor	t34501aep|MSH6_HUMAN	PF00488;PF01624;PF05192;PF00855;PF05190;PF05188	"PREDICTED: DNA mismatch repair protein Msh6-like, partial [Hydra vulgaris]"	2.17E-49	7.26E-45	0.421864206	0.49	0.255
i_neuron/gland_cell_progenitor	t1778aep|SMD2_DROME	PF01423	PREDICTED: small nuclear ribonucleoprotein Sm D2-like [Hydra vulgaris]	6.56E-35	2.19E-30	0.421796082	0.767	0.679
i_neuron/gland_cell_progenitor	t1689aep|ALRF2_MOUSE	PF00076;PF13865	PREDICTED: THO complex subunit 4-like [Hydra vulgaris] >gi|828218945|ref|XP_012561122.1| PREDICTED: THO complex subunit 4-like [Hydra vulgaris] >gi|828218947|ref|XP_012561124.1| PREDICTED: THO complex subunit 4-like [Hydra vulgaris]	7.11E-34	2.37E-29	0.420881615	0.746	0.65
i_neuron/gland_cell_progenitor	t6980aep|PSD12_HUMAN	PF01399	PREDICTED: 26S proteasome non-ATPase regulatory subunit 12-like [Hydra vulgaris]	1.35E-19	4.51E-15	0.420184531	0.63	0.531
i_neuron/gland_cell_progenitor	t12556aep|RT05_BOVIN	PF03719;PF00333	PREDICTED: WD repeat-containing protein 64-like [Hydra vulgaris]	4.30E-28	1.43E-23	0.42014813	0.549	0.385
i_neuron/gland_cell_progenitor	t6410aep|NP1L1_PONAB	PF00956	PREDICTED: nucleosome assembly protein 1-like 1 [Hydra vulgaris]	2.47E-70	8.26E-66	0.419597167	0.922	0.854
i_neuron/gland_cell_progenitor	t30421aep|RL13A_MACFA	PF00572	PREDICTED: 60S ribosomal protein L13a-like [Hydra vulgaris] >gi|828205615|ref|XP_012556675.1| PREDICTED: 60S ribosomal protein L13a-like [Hydra vulgaris]	3.76E-116	1.26E-111	0.419269163	0.995	0.956
i_neuron/gland_cell_progenitor	t13968aep|IF2A_HUMAN	PF07541;PF00575	PREDICTED: eukaryotic translation initiation factor 2 subunit 1-like [Hydra vulgaris]	1.27E-60	4.26E-56	0.419203326	0.894	0.824
i_neuron/gland_cell_progenitor	t22131aep|SMD1_MOUSE	PF01423	PREDICTED: small nuclear ribonucleoprotein Sm D1-like [Hydra vulgaris]	1.19E-32	3.97E-28	0.419012173	0.709	0.585
i_neuron/gland_cell_progenitor	t37634aep|KELP_ARATH	PF02229	PREDICTED: RNA polymerase II transcriptional coactivator-like [Hydra vulgaris]	4.85E-28	1.62E-23	0.418929526	0.683	0.565
i_neuron/gland_cell_progenitor	t12732aep|RS13_XENLA	PF08069;PF00312	PREDICTED: 40S ribosomal protein S13 [Hydra vulgaris]	5.42E-84	1.81E-79	0.418033973	0.991	0.956
i_neuron/gland_cell_progenitor	t16989aep|AEN_RAT	PF00929	PREDICTED: interferon-stimulated gene 20 kDa protein-like [Hydra vulgaris]	4.12E-33	1.38E-28	0.417948345	0.755	0.661
i_neuron/gland_cell_progenitor	t11657aep|EIF3G_DANRE	PF12353;PF00076	PREDICTED: eukaryotic translation initiation factor 3 subunit G-like [Hydra vulgaris]	5.28E-34	1.76E-29	0.416832645	0.783	0.704
i_neuron/gland_cell_progenitor	t35918aep	PF14978	PREDICTED: uncharacterized protein LOC101239215 [Hydra vulgaris]	1.24E-27	4.14E-23	0.416704971	0.547	0.386
i_neuron/gland_cell_progenitor	t10591aep|RL5_HUMAN	PF17144;PF14204	PREDICTED: 60S ribosomal protein L5-like [Hydra vulgaris]	1.27E-86	4.23E-82	0.416608939	0.968	0.915
i_neuron/gland_cell_progenitor	t14410aep|HDA1B_XENLA	PF00850	PREDICTED: histone deacetylase 2-like [Xenopus laevis] >gi|1050378161|gb|OCT80358.1| hypothetical protein XELAEV_18027167mg [Xenopus laevis]	1.04E-34	3.46E-30	0.416085909	0.566	0.379
i_neuron/gland_cell_progenitor	t23010aep	PF00876	PREDICTED: uncharacterized protein LOC100203416 [Hydra vulgaris]	1.04E-78	3.47E-74	0.415608001	0.383	0.119
i_neuron/gland_cell_progenitor	t19890aep|RLA2_CRYST	PF00428	PREDICTED: 60S acidic ribosomal protein P2-like [Hydra vulgaris]	6.49E-120	2.17E-115	0.415576837	1	0.991
i_neuron/gland_cell_progenitor	t15000aep|SRSF7_HUMAN	PF00076;PF00098	"PREDICTED: probable splicing factor, arginine/serine-rich 6 [Hydra vulgaris]"	2.10E-28	7.01E-24	0.415235871	0.72	0.628
i_neuron/gland_cell_progenitor	t28277aep|H10A_XENLA	NA	"PREDICTED: histone H1-delta-like, partial [Hydra vulgaris]"	1.68E-37	5.59E-33	0.415231808	0.855	0.72
i_neuron/gland_cell_progenitor	t10345aep|ICLN_MOUSE	PF03517	Methylosome subunit pICln [Exaiptasia pallida]	3.56E-32	1.19E-27	0.41512468	0.58	0.408
i_neuron/gland_cell_progenitor	t31087aep|PNPO_BOVIN	PF01243;PF10590;PF12766	PREDICTED: pyridoxine-5'-phosphate oxidase-like [Hydra vulgaris]	3.45E-24	1.15E-19	0.415051908	0.55	0.407
i_neuron/gland_cell_progenitor	t16039aep|ROA1_XENLA	PF00076;PF02037	PREDICTED: uncharacterized RNA-binding protein C660.15-like [Hydra vulgaris]	3.43E-33	1.15E-28	0.414632712	0.741	0.653
i_neuron/gland_cell_progenitor	t33681aep|PFD1_HUMAN	PF01920	PREDICTED: prefoldin subunit 1-like [Acropora digitifera]	3.08E-25	1.03E-20	0.414371723	0.656	0.54
i_neuron/gland_cell_progenitor	t19394aep|RL14_PIG	PF01929	PREDICTED: 60S ribosomal protein L14-like [Hydra vulgaris]	1.61E-100	5.37E-96	0.41409286	0.998	0.973
i_neuron/gland_cell_progenitor	t22157aep|RS11_RAT	PF16205;PF00366	PREDICTED: 40S ribosomal protein S11-like [Hydra vulgaris]	1.70E-123	5.67E-119	0.414057135	0.998	0.977
i_neuron/gland_cell_progenitor	t13998aep|NUF2A_XENLA	PF03800	PREDICTED: kinetochore protein Nuf2-A-like [Hydra vulgaris]	2.53E-45	8.44E-41	0.413761226	0.45	0.227
i_neuron/gland_cell_progenitor	t20211aep|RPAB1_PONAB	PF03871;PF01191	"PREDICTED: DNA-directed RNA polymerases I, II, and III subunit RPABC1-like [Hydra vulgaris]"	1.56E-30	5.22E-26	0.413698188	0.529	0.35
i_neuron/gland_cell_progenitor	t23110aep|SRP19_MOUSE	PF01922	PREDICTED: signal recognition particle 19 kDa protein-like [Hydra vulgaris]	7.68E-19	2.56E-14	0.413541323	0.397	0.264
i_neuron/gland_cell_progenitor	t30411aep|HIBN_XENLA	PF07719;PF13181;PF13424;PF00515;PF10516	PREDICTED: protein HGV2-like isoform X1 [Hydra vulgaris]	1.06E-56	3.55E-52	0.413435522	0.522	0.247
i_neuron/gland_cell_progenitor	t24174aep|FCF1_PONAB	PF04900	PREDICTED: rRNA-processing protein FCF1 homolog isoform X1 [Hydra vulgaris]	2.47E-22	8.24E-18	0.413104509	0.526	0.385
i_neuron/gland_cell_progenitor	t27013aep|LC7L2_MOUSE	PF03194	PREDICTED: putative RNA-binding protein Luc7-like 2 [Hydra vulgaris]	6.72E-27	2.24E-22	0.412189464	0.658	0.555
i_neuron/gland_cell_progenitor	t16715aep|DCA13_CHICK	PF04158;PF00400;PF08662	"PREDICTED: DDB1- and CUL4-associated factor 13-like, partial [Hydra vulgaris]"	8.34E-32	2.78E-27	0.411391525	0.524	0.348
i_neuron/gland_cell_progenitor	t8394aep|SSNA1_MOUSE	NA	PREDICTED: Sjoegren syndrome nuclear autoantigen 1 homolog [Hydra vulgaris]	2.24E-40	7.47E-36	0.410975712	0.434	0.218
i_neuron/gland_cell_progenitor	t36179aep|RL8_XENLA	PF03947;PF00181	PREDICTED: 60S ribosomal protein L8-like [Hydra vulgaris]	1.62E-93	5.40E-89	0.41085115	0.998	0.953
i_neuron/gland_cell_progenitor	t12017aep|SF3B6_MOUSE	PF00076	PREDICTED: splicing factor 3B subunit 6-like [Hydra vulgaris]	1.79E-26	5.98E-22	0.409931292	0.661	0.534
i_neuron/gland_cell_progenitor	t5479aep|RL27A_XENLA	PF00828	PREDICTED: 60S ribosomal protein L27a-like [Hydra vulgaris]	2.66E-108	8.89E-104	0.409743348	0.996	0.97
i_neuron/gland_cell_progenitor	t31768aep|PSA7L_MOUSE	PF00227;PF10584	PREDICTED: proteasome subunit alpha type-7-like [Hydra vulgaris]	1.76E-26	5.86E-22	0.409509872	0.73	0.624
i_neuron/gland_cell_progenitor	t37682aep	NA	PREDICTED: uncharacterized protein LOC100215183 [Hydra vulgaris]	2.65E-25	8.86E-21	0.409491357	0.545	0.393
i_neuron/gland_cell_progenitor	t6783aep|PSMD7_MOUSE	PF13012;PF01398	PREDICTED: 26S proteasome non-ATPase regulatory subunit 7-like [Hydra vulgaris]	1.55E-31	5.19E-27	0.409269838	0.73	0.623
i_neuron/gland_cell_progenitor	t13112aep|PESC_NEMVE	PF06732;PF16589	"PREDICTED: pescadillo homolog, partial [Hydra vulgaris]"	1.83E-26	6.11E-22	0.409257109	0.621	0.508
i_neuron/gland_cell_progenitor	t16068aep|KI67_HUMAN	PF15276	PREDICTED: uncharacterized protein LOC100205951 [Hydra vulgaris]	3.18E-26	1.06E-21	0.408441662	0.383	0.205
i_neuron/gland_cell_progenitor	t2738aep|BYST_NEMVE	PF05291	PREDICTED: bystin-like [Hydra vulgaris]	1.11E-20	3.70E-16	0.407016517	0.649	0.536
i_neuron/gland_cell_progenitor	t11013aep|NOVA1_MACFA	PF00013;PF07650;PF13083	PREDICTED: RNA-binding protein Nova-1-like [Hydra vulgaris] >gi|828192855|ref|XP_012561497.1| PREDICTED: RNA-binding protein Nova-1-like [Hydra vulgaris]	1.49E-26	4.97E-22	0.406714801	0.714	0.653
i_neuron/gland_cell_progenitor	t9010aep	NA	PREDICTED: uncharacterized protein DDB_G0283697-like [Hydra vulgaris]	2.82E-25	9.42E-21	0.406429893	0.556	0.402
i_neuron/gland_cell_progenitor	t13142aep|ZCHC4_XENLA	PF10237	PREDICTED: zinc finger CCHC domain-containing protein 4-like [Hydra vulgaris]	2.02E-30	6.73E-26	0.406359697	0.52	0.35
i_neuron/gland_cell_progenitor	t10556aep|PFD5_HUMAN	PF02996	PREDICTED: prefoldin subunit 5-like [Hydra vulgaris]	1.08E-32	3.60E-28	0.406357428	0.817	0.753
i_neuron/gland_cell_progenitor	t9521aep|RS23_ICTPU	PF00164	PREDICTED: 40S ribosomal protein S23 [Hydra vulgaris]	1.21E-122	4.05E-118	0.406223401	0.996	0.972
i_neuron/gland_cell_progenitor	t28720aep|RS4_XENTR	PF00900;PF16121;PF08071;PF00467	PREDICTED: 40S ribosomal protein S4-like [Hydra vulgaris]	1.17E-107	3.91E-103	0.405661612	0.998	0.962
i_neuron/gland_cell_progenitor	t10268aep|SMC4_XENLA	PF02463;PF06470;PF13304;PF13476;PF13555	PREDICTED: structural maintenance of chromosomes protein 4-like [Hydra vulgaris]	1.18E-36	3.95E-32	0.404322317	0.46	0.248
i_neuron/gland_cell_progenitor	t36033aep	NA	Anaphase-promoting complex subunit 13 [Exaiptasia pallida]	4.14E-27	1.38E-22	0.404168317	0.501	0.325
i_neuron/gland_cell_progenitor	t12714aep|RS9_DROME	PF01479	PREDICTED: 40S ribosomal protein S9 [Hydra vulgaris]	1.48E-124	4.95E-120	0.403654824	0.998	0.973
i_neuron/gland_cell_progenitor	t33911aep|RL36_IXOSC	PF01158	PREDICTED: 60S ribosomal protein L36-like [Hydra vulgaris] >gi|449669251|ref|XP_004206976.1| PREDICTED: 60S ribosomal protein L36-like [Hydra vulgaris] >gi|828200202|ref|XP_012554852.1| PREDICTED: 60S ribosomal protein L36-like [Hydra vulgaris]	2.79E-108	9.31E-104	0.403066389	0.996	0.976
i_neuron/gland_cell_progenitor	t36035aep|TCEA2_HUMAN	PF07500;PF01096;PF08711	PREDICTED: transcription elongation factor A protein 1-like [Hydra vulgaris]	9.71E-24	3.24E-19	0.40299542	0.571	0.435
i_neuron/gland_cell_progenitor	t3826aep|LSM5_PONAB	PF01423	PREDICTED: U6 snRNA-associated Sm-like protein LSm5 [Hydra vulgaris]	1.77E-22	5.92E-18	0.402985884	0.623	0.508
i_neuron/gland_cell_progenitor	t12089aep|RL39_SPOFR	PF00832	ribosomal protein L39 [Danaus plexippus]	3.42E-64	1.14E-59	0.402749141	0.986	0.934
i_neuron/gland_cell_progenitor	t33446aep|TOM7_HUMAN	PF08038	predicted protein [Nematostella vectensis] >gi|156223909|gb|EDO44739.1| predicted protein [Nematostella vectensis]	1.61E-35	5.36E-31	0.402593854	0.834	0.742
i_neuron/gland_cell_progenitor	t22105aep|RL34_DANRE	PF01199	PREDICTED: 60S ribosomal protein L34-like isoform X2 [Hydra vulgaris]	3.65E-80	1.22E-75	0.401925031	0.996	0.971
i_neuron/gland_cell_progenitor	t14459aep|RL37A_CRYST	PF01780	PREDICTED: 60S ribosomal protein L37a-like [Hydra vulgaris]	1.76E-65	5.87E-61	0.401184471	0.996	0.959
i_neuron/gland_cell_progenitor	t5475aep|SPF45_HUMAN	PF01585	PREDICTED: splicing factor 45-like [Hydra vulgaris]	2.73E-21	9.13E-17	0.400184699	0.63	0.526
i_neuron/gland_cell_progenitor	t9575aep|PDCD4_CHICK	PF02847	PREDICTED: programmed cell death protein 4-like [Hydra vulgaris]	1.08E-27	3.59E-23	0.39995865	0.7	0.594
i_neuron/gland_cell_progenitor	t15591aep|EBP2_MOUSE	PF05890	PREDICTED: probable rRNA-processing protein EBP2 [Hydra vulgaris]	1.84E-24	6.15E-20	0.398654652	0.63	0.506
i_neuron/gland_cell_progenitor	t1907aep|F10A1_CHICK	PF00515;PF07719;PF13181;PF13414;PF13431;PF13371	PREDICTED: hsc70-interacting protein-like [Hydra vulgaris] >gi|828189828|ref|XP_012554235.1| PREDICTED: hsc70-interacting protein-like [Hydra vulgaris]	4.40E-30	1.47E-25	0.397974552	0.753	0.671
i_neuron/gland_cell_progenitor	t23115aep|PUM3_RAT	PF08144	PREDICTED: pumilio domain-containing protein KIAA0020-like [Hydra vulgaris]	2.79E-25	9.30E-21	0.397545653	0.635	0.529
i_neuron/gland_cell_progenitor	t9800aep|DOM_DROME	PF00176;PF00271;PF07529	PREDICTED: helicase domino-like [Hydra vulgaris]	9.02E-23	3.01E-18	0.397410709	0.614	0.502
i_neuron/gland_cell_progenitor	t12652aep|NDC80_XENLA	PF03801	PREDICTED: kinetochore protein NDC80 homolog [Hydra vulgaris]	6.98E-36	2.33E-31	0.397012134	0.439	0.239
i_neuron/gland_cell_progenitor	t1909aep|RBBP7_DANRE	PF12265;PF00400	PREDICTED: histone-binding protein RBBP7 [Hydra vulgaris]	4.54E-29	1.52E-24	0.396901963	0.513	0.35
i_neuron/gland_cell_progenitor	t9613aep|UCHL5_BOVIN	PF01088	PREDICTED: ubiquitin carboxyl-terminal hydrolase isozyme L5-like [Hydra vulgaris]	2.32E-21	7.75E-17	0.396581769	0.527	0.396
i_neuron/gland_cell_progenitor	t3182aep|OXA1L_HUMAN	PF02096	PREDICTED: mitochondrial inner membrane protein OXA1L-like [Hydra vulgaris]	1.14E-24	3.81E-20	0.396551603	0.536	0.395
i_neuron/gland_cell_progenitor	t32760aep|BRM_DROME	PF00176;PF00271;PF00439;PF14619;PF07529;PF04851;PF08880;PF07533	PREDICTED: transcription activator BRG1-like [Hydra vulgaris]	2.31E-20	7.71E-16	0.396500548	0.586	0.478
i_neuron/gland_cell_progenitor	t1839aep|PRC1_HUMAN	PF03999	PREDICTED: protein regulator of cytokinesis 1-like [Hydra vulgaris]	5.25E-18	1.75E-13	0.395923039	0.392	0.245
i_neuron/gland_cell_progenitor	t12999aep|CTSL2_CHICK	PF03031	PREDICTED: CTD small phosphatase-like protein 2 [Hydra vulgaris]	1.80E-20	6.03E-16	0.395469945	0.411	0.268
i_neuron/gland_cell_progenitor	t15519aep|RL35_RAT	PF00831	PREDICTED: 60S ribosomal protein L35-like [Hydra vulgaris]	7.44E-97	2.48E-92	0.395338953	0.996	0.967
i_neuron/gland_cell_progenitor	t16508aep|CARM1_DANRE	PF13649;PF06325;PF05175;PF08241	PREDICTED: histone-arginine methyltransferase CARMER-like isoform X1 [Hydra vulgaris]	7.76E-24	2.59E-19	0.395294623	0.58	0.449
i_neuron/gland_cell_progenitor	t23832aep|IDHP_BOVIN	PF00180	PREDICTED: isocitrate dehydrogenase [NADP]-like [Hydra vulgaris]	1.03E-22	3.44E-18	0.394661133	0.702	0.597
i_neuron/gland_cell_progenitor	t23203aep|RL23A_RAT	PF03939;PF00276	PREDICTED: 60S ribosomal protein L23a-like [Hydra vulgaris]	1.13E-81	3.76E-77	0.394114632	0.986	0.941
i_neuron/gland_cell_progenitor	t34086aep	NA	NA	6.14E-115	2.05E-110	0.393530334	0.298	0.06
i_neuron/gland_cell_progenitor	t19258aep|ARP6_CHICK	PF00022	PREDICTED: actin-related protein 6-like [Hydra vulgaris]	1.87E-33	6.23E-29	0.392580687	0.464	0.269
i_neuron/gland_cell_progenitor	t22621aep|CHD5_MOUSE	PF08074;PF00176;PF06461;PF06465;PF00271;PF00628;PF08073;PF00385;PF04851	PREDICTED: chromodomain-helicase-DNA-binding protein 3 [Hydra vulgaris]	3.29E-18	1.10E-13	0.392182108	0.48	0.345
i_neuron/gland_cell_progenitor	t19812aep|REQU_MOUSE	PF14051;PF00628	PREDICTED: zinc finger protein ubi-d4 B-like isoform X1 [Hydra vulgaris]	1.50E-28	5.00E-24	0.392145568	0.42	0.244
i_neuron/gland_cell_progenitor	t595aep	NA	NA	3.29E-49	1.10E-44	0.392142674	0.907	0.848
i_neuron/gland_cell_progenitor	t13130aep|TOM40_XENLA	PF01459	PREDICTED: mitochondrial import receptor subunit TOM40 homolog [Hydra vulgaris]	6.13E-23	2.05E-18	0.392080777	0.646	0.547
i_neuron/gland_cell_progenitor	t4122aep|RS3_RAT	PF00189;PF07650	PREDICTED: 40S ribosomal protein S3-like [Hydra vulgaris]	6.17E-67	2.06E-62	0.391261313	0.968	0.919
i_neuron/gland_cell_progenitor	t17952aep|CHD9_MOUSE	PF00176;PF00385;PF00271;PF04851	PREDICTED: chromodomain-helicase-DNA-binding protein 8-like [Hydra vulgaris]	4.07E-18	1.36E-13	0.391071207	0.559	0.451
i_neuron/gland_cell_progenitor	t10189aep|LSM7_MOUSE	PF01423	PREDICTED: U6 snRNA-associated Sm-like protein LSm7 [Hydra vulgaris]	7.39E-22	2.47E-17	0.391033387	0.603	0.477
i_neuron/gland_cell_progenitor	t22772aep|PFD4_HUMAN	PF01920	PREDICTED: prefoldin subunit 4-like [Hydra vulgaris]	9.59E-25	3.20E-20	0.391016671	0.647	0.531
i_neuron/gland_cell_progenitor	t15932aep|MYEF2_MOUSE	PF00076	PREDICTED: myelin expression factor 2-like [Hydra vulgaris]	2.34E-25	7.82E-21	0.390371539	0.686	0.63
i_neuron/gland_cell_progenitor	t8930aep|RNH2C_MOUSE	PF08615	PREDICTED: ribonuclease H2 subunit C-like [Hydra vulgaris]	4.50E-24	1.50E-19	0.390318993	0.429	0.268
i_neuron/gland_cell_progenitor	t5399aep|SF3B2_HUMAN	PF04037;PF04046	PREDICTED: splicing factor 3B subunit 2-like [Hydra vulgaris]	7.95E-18	2.65E-13	0.390027031	0.586	0.484
i_neuron/gland_cell_progenitor	t22381aep|SF3B4_HUMAN	PF00076	PREDICTED: splicing factor 3B subunit 4-like [Hydra vulgaris]	1.59E-26	5.31E-22	0.389801386	0.46	0.303
i_neuron/gland_cell_progenitor	t15543aep|EIF3D_DANRE	PF05091	PREDICTED: eukaryotic translation initiation factor 3 subunit D-like [Hydra vulgaris]	3.29E-36	1.10E-31	0.389369372	0.811	0.752
i_neuron/gland_cell_progenitor	t31003aep|THOC5_DANRE	PF09766	PREDICTED: THO complex subunit 5 homolog [Hydra vulgaris]	9.21E-21	3.07E-16	0.388712298	0.626	0.536
i_neuron/gland_cell_progenitor	t20288aep|LSM2_MOUSE	PF01423	U6 snRNA-associated Sm-like protein LSm2 [Exaiptasia pallida]	7.91E-22	2.64E-17	0.388650519	0.568	0.431
i_neuron/gland_cell_progenitor	t7985aep|AMPL_BOVIN	PF00883;PF02789	PREDICTED: cytosol aminopeptidase-like [Hydra vulgaris]	1.83E-20	6.12E-16	0.387897706	0.501	0.364
i_neuron/gland_cell_progenitor	t23600aep|RL30_SPOFR	PF01248	PREDICTED: 60S ribosomal protein L30-like [Hydra vulgaris] >gi|221107009|ref|XP_002161448.1| PREDICTED: 60S ribosomal protein L30-like [Hydra vulgaris]	1.84E-69	6.14E-65	0.387675968	0.988	0.964
i_neuron/gland_cell_progenitor	t6836aep|EIF3H_NEMVE	PF01398	PREDICTED: eukaryotic translation initiation factor 3 subunit H-like [Hydra vulgaris]	1.22E-28	4.06E-24	0.387309841	0.764	0.69
i_neuron/gland_cell_progenitor	t19177aep|KRR1_DROWI	NA	PREDICTED: KRR1 small subunit processome component homolog [Hydra vulgaris]	1.21E-21	4.03E-17	0.386614678	0.513	0.368
i_neuron/gland_cell_progenitor	t28970aep|PSME3_CHICK	PF02252;PF02251	PREDICTED: proteasome activator complex subunit 3-like [Acropora digitifera]	1.36E-29	4.53E-25	0.38635031	0.772	0.687
i_neuron/gland_cell_progenitor	t19164aep|PHB2_RAT	PF01145	PREDICTED: prohibitin-2-like [Hydra vulgaris]	2.10E-22	7.01E-18	0.385610357	0.575	0.458
i_neuron/gland_cell_progenitor	t37013aep|LAGE3_MOUSE	PF09341	PREDICTED: EKC/KEOPS complex subunit LAGE3-like isoform X1 [Lingula anatina] >gi|919080049|ref|XP_013421178.1| PREDICTED: EKC/KEOPS complex subunit LAGE3-like isoform X2 [Lingula anatina]	2.10E-24	7.00E-20	0.384801436	0.534	0.387
i_neuron/gland_cell_progenitor	t29597aep|EIF3E_NEMVE	PF09440;PF01399	PREDICTED: eukaryotic translation initiation factor 3 subunit E-like [Hydra vulgaris]	2.85E-22	9.51E-18	0.384323721	0.66	0.562
i_neuron/gland_cell_progenitor	t31847aep|RS2_ICTPU	PF00333;PF03719	PREDICTED: 40S ribosomal protein S2 [Strongylocentrotus purpuratus]	3.14E-78	1.05E-73	0.384314439	0.974	0.941
i_neuron/gland_cell_progenitor	t23044aep|PRP31_MOUSE	PF01798;PF09785	PREDICTED: U4/U6 small nuclear ribonucleoprotein Prp31-like [Hydra vulgaris]	3.42E-20	1.14E-15	0.383886919	0.552	0.436
i_neuron/gland_cell_progenitor	t29661aep|LEO1_DANRE	PF04004	PREDICTED: RNA polymerase-associated protein LEO1-like [Hydra vulgaris] >gi|828221333|ref|XP_012561914.1| PREDICTED: RNA polymerase-associated protein LEO1-like [Hydra vulgaris]	2.13E-23	7.10E-19	0.383841511	0.672	0.571
i_neuron/gland_cell_progenitor	t16777aep|IPYR_HUMAN	PF00719	PREDICTED: uncharacterized protein LOC100215086 [Hydra vulgaris]	2.08E-39	6.96E-35	0.383085941	0.855	0.755
i_neuron/gland_cell_progenitor	t8924aep|MIF_CHICK	PF01187	PREDICTED: macrophage migration inhibitory factor-like [Hydra vulgaris]	8.89E-23	2.97E-18	0.382855307	0.631	0.521
i_neuron/gland_cell_progenitor	t620aep	PF12874;PF14604;PF12171;PF00018	PREDICTED: uncharacterized protein LOC100212632 [Hydra vulgaris] >gi|828230385|ref|XP_012564850.1| PREDICTED: uncharacterized protein LOC100212632 [Hydra vulgaris]	4.09E-32	1.36E-27	0.382679061	0.444	0.256
i_neuron/gland_cell_progenitor	t18627aep|RS5_PODCA	PF00177	PREDICTED: 40S ribosomal protein S5-like isoform X1 [Hydra vulgaris]	2.28E-118	7.63E-114	0.382035108	0.995	0.974
i_neuron/gland_cell_progenitor	t25018aep|NOXA_DICDI	PF08022;PF08030;PF01794	PREDICTED: superoxide-generating NADPH oxidase heavy chain subunit A-like [Hydra vulgaris]	7.59E-10	2.54E-05	0.381964789	0.367	0.277
i_neuron/gland_cell_progenitor	t3473aep|CH10_SCHJA	PF00166	"PREDICTED: 10 kDa heat shock protein, mitochondrial-like [Hydra vulgaris]"	1.41E-31	4.72E-27	0.381624987	0.772	0.723
i_neuron/gland_cell_progenitor	t7302aep|RED_MOUSE	PF07808;PF07807	PREDICTED: protein Red-like [Hydra vulgaris]	1.04E-23	3.48E-19	0.381475023	0.552	0.407
i_neuron/gland_cell_progenitor	t8937aep|RSF1_HUMAN	PF00628	PREDICTED: remodeling and spacing factor 1-like [Hydra vulgaris]	7.01E-22	2.34E-17	0.381409847	0.496	0.353
i_neuron/gland_cell_progenitor	t761aep|RS14_PODCA	PF00411	PREDICTED: 40S ribosomal protein S14 [Hydra vulgaris]	4.17E-95	1.39E-90	0.380977664	0.984	0.948
i_neuron/gland_cell_progenitor	t23921aep|NDUB3_BOVIN	NA	predicted protein [Nematostella vectensis] >gi|156221343|gb|EDO42199.1| predicted protein [Nematostella vectensis]	6.65E-20	2.22E-15	0.380692129	0.656	0.575
i_neuron/gland_cell_progenitor	t18816aep|CWC15_CAEEL	PF04889	PREDICTED: spliceosome-associated protein CWC15 homolog [Hydra vulgaris]	1.92E-17	6.42E-13	0.380661785	0.614	0.52
i_neuron/gland_cell_progenitor	t1844aep|MSI1H_RAT	PF00076;PF16367	hypothetical protein CICLE_v10009293mg [Citrus clementina] >gi|557555869|gb|ESR65883.1| hypothetical protein CICLE_v10009293mg [Citrus clementina] >gi|641840267|gb|KDO59189.1| hypothetical protein CISIN_1g018875mg [Citrus sinensis]	5.05E-20	1.69E-15	0.380631954	0.561	0.441
i_neuron/gland_cell_progenitor	t20514aep|PSB6_BOVIN	PF00227	PREDICTED: proteasome subunit beta type-6-like [Hydra vulgaris]	1.23E-22	4.09E-18	0.380173754	0.58	0.439
i_neuron/gland_cell_progenitor	t20802aep|SCAF8_HUMAN	PF04818;PF00076	"PREDICTED: splicing factor, arginine/serine-rich 15-like [Hydra vulgaris]"	2.72E-22	9.09E-18	0.379517369	0.667	0.575
i_neuron/gland_cell_progenitor	t19385aep|IF4A3_HUMAN	PF00270;PF00271	PREDICTED: eukaryotic initiation factor 4A-III [Hydra vulgaris]	1.21E-25	4.03E-21	0.379442539	0.686	0.586
i_neuron/gland_cell_progenitor	t12169aep|NAF1_RAT	PF04410	PREDICTED: protein dopey homolog PFC0245c-like [Hydra vulgaris]	9.92E-26	3.31E-21	0.37764148	0.556	0.398
i_neuron/gland_cell_progenitor	t29169aep|RL44_CANTR	PF00935	PREDICTED: 60S ribosomal protein L44 [Hydra vulgaris]	2.86E-99	9.56E-95	0.37715313	1	0.972
